id,carat,cut,color,clarity,depth,table,x,y,z,price
7298,0.5,Ideal,G,VS1,62.6,57.0,5.05,5.08,3.17,7.358
7299,1.07,Ideal,G,VVS2,61.9,56.0,6.6,6.62,4.09,9.124
7300,0.9,Premium,D,SI1,62.2,60.0,6.14,6.08,3.8,8.436
7301,0.81,Very Good,H,SI2,62.1,56.0,5.95,5.99,3.71,7.826
7302,1.22,Ideal,H,SI2,61.0,57.0,6.93,6.88,4.2,8.631
7303,0.41,Very Good,I,VVS2,61.3,60.0,4.77,4.82,2.94,6.698
7304,0.3,Very Good,D,SI1,62.6,56.0,4.24,4.29,2.67,6.314
7305,0.4,Premium,G,IF,60.8,58.0,4.73,4.77,2.89,7.195
7306,0.3,Good,H,SI1,63.4,57.0,4.27,4.31,2.72,6.043
7307,1.1,Ideal,H,SI1,61.5,56.0,6.61,6.65,4.08,8.831
7308,0.32,Ideal,F,VVS2,60.9,56.0,4.44,4.46,2.71,6.685
7309,1.23,Ideal,H,VS1,62.1,54.0,6.87,6.89,4.27,8.98
7310,0.33,Premium,F,VVS2,62.3,60.0,4.43,4.4,2.75,6.804
7311,1.01,Premium,F,I1,62.6,57.0,6.42,6.3,3.99,7.722
7312,0.4,Very Good,F,SI1,59.6,58.0,4.81,4.82,2.87,6.542
7313,0.53,Ideal,F,VVS2,61.4,56.0,5.19,5.23,3.2,7.73
7314,0.26,Ideal,E,VS1,61.8,55.0,4.09,4.13,2.54,6.114
7315,0.33,Very Good,I,VS1,63.1,56.0,4.4,4.38,2.77,6.504
7316,0.5,Good,D,VVS2,62.4,64.0,5.03,5.06,3.14,8.012
7317,1.5,Fair,F,VVS2,64.7,53.0,7.22,7.15,4.65,9.703
7318,0.79,Premium,E,SI2,61.0,58.0,5.96,5.9,3.62,7.961
7319,0.4,Ideal,H,IF,62.7,57.0,4.7,4.68,2.94,7.121
7320,1.01,Very Good,E,VS2,60.6,59.0,6.43,6.47,3.91,8.881
7321,0.73,Ideal,D,VS2,61.6,56.0,5.78,5.82,3.57,8.15
7322,0.54,Good,H,SI1,59.4,65.0,5.31,5.22,3.13,7.031
7323,0.6,Ideal,G,VVS1,61.5,56.0,5.44,5.47,3.35,7.828
7324,0.42,Premium,F,VVS2,61.7,59.0,4.78,4.82,2.96,7.041
7325,3.01,Fair,I,SI2,65.8,56.0,8.99,8.94,5.9,9.811
7326,0.34,Ideal,F,SI2,60.1,56.0,4.54,4.55,2.73,6.103
7327,0.31,Premium,F,VVS1,62.4,60.0,4.31,4.28,2.68,6.866
7328,0.36,Ideal,E,VS2,60.2,56.0,4.65,4.62,2.79,6.985
7329,0.73,Premium,E,SI2,61.8,58.0,5.76,5.71,3.54,7.731
7330,1.71,Ideal,G,VS1,61.4,57.0,7.72,7.65,4.72,9.753
7331,0.9,Very Good,H,SI2,59.5,63.0,6.31,6.26,3.74,8.041
7332,0.82,Ideal,H,VS2,59.5,57.0,6.12,6.09,3.63,7.962
7333,0.74,Premium,E,VS1,60.0,57.0,5.94,5.89,3.55,8.05
7334,0.71,Ideal,H,IF,62.0,54.0,5.71,5.75,3.55,8.068
7335,1.5,Premium,F,I1,60.6,62.0,7.24,7.22,4.38,8.596
7336,0.5,Good,E,SI1,61.8,62.0,5.05,5.08,3.13,7.138
7337,0.9,Ideal,F,SI2,61.9,56.0,6.19,6.24,3.85,8.242
7338,0.24,Good,E,VVS2,65.0,58.0,3.85,3.9,2.52,6.198
7339,0.71,Very Good,D,SI2,61.8,63.0,5.73,5.67,3.52,7.731
7340,0.4,Premium,D,SI2,62.1,60.0,4.69,4.75,2.93,6.501
7341,0.9,Very Good,E,SI1,63.1,60.0,6.18,6.14,3.89,8.317
7342,1.21,Ideal,G,VS1,62.0,55.0,6.84,6.88,4.25,9.136
7343,0.43,Ideal,E,VS2,62.2,57.0,4.8,4.84,3.0,6.889
7344,1.51,Ideal,G,SI1,61.6,56.0,7.34,7.25,4.5,9.022
7345,1.1,Ideal,I,VS1,62.3,55.0,6.64,6.6,4.12,8.677
7346,0.5,Good,D,SI1,63.3,56.0,5.07,5.1,3.22,7.27
7347,0.9,Fair,G,SI1,72.9,54.0,5.74,5.67,4.16,7.898
7348,0.55,Premium,E,VS2,60.5,58.0,5.32,5.26,3.2,7.54
7349,1.23,Ideal,G,SI2,61.6,55.0,6.91,6.88,4.25,8.24
7350,0.42,Very Good,D,VS2,60.7,60.0,4.79,4.83,2.92,6.813
7351,1.04,Very Good,I,I1,61.6,61.0,6.45,6.47,3.98,7.918
7352,0.42,Premium,G,VS2,60.6,59.0,4.85,4.78,2.92,6.991
7353,0.52,Very Good,E,SI2,61.8,54.0,5.15,5.18,3.19,7.021
7354,1.09,Premium,I,SI1,62.7,60.0,6.57,6.51,4.1,8.206
7355,0.52,Ideal,F,IF,60.3,60.0,5.24,5.27,3.17,7.794
7356,3.05,Premium,E,I1,60.9,58.0,9.26,9.25,5.66,9.255
7357,0.53,Ideal,D,VS2,61.2,57.0,5.2,5.26,3.2,7.527
7358,0.23,Very Good,E,VS1,61.3,56.0,3.96,3.98,2.43,6.091
7359,2.02,Ideal,J,SI1,62.7,54.2,8.03,8.08,5.05,9.464
7360,0.9,Premium,H,SI1,62.6,58.0,6.12,6.08,3.82,8.128
7361,0.35,Premium,G,VVS2,62.2,58.0,4.54,4.49,2.81,6.931
7362,1.51,Ideal,F,SI1,62.8,57.0,7.28,7.33,4.59,9.437
7363,2.0,Fair,G,SI2,66.5,56.0,7.75,7.7,5.14,9.562
7364,0.84,Ideal,G,SI2,62.0,56.0,6.02,6.05,3.74,8.002
7365,0.4,Ideal,E,VS1,62.1,55.0,4.79,4.75,2.96,6.867
7366,0.33,Ideal,G,VVS2,61.7,56.0,4.42,4.46,2.74,6.623
7367,0.41,Very Good,D,SI2,59.9,60.0,4.78,4.8,2.87,6.428
7368,0.71,Ideal,J,VS2,62.4,54.0,5.72,5.76,3.58,7.549
7369,0.64,Ideal,H,VS2,62.3,54.0,5.52,5.55,3.44,7.513
7370,0.32,Premium,F,VS2,59.7,62.0,4.43,4.38,2.63,6.65
7371,0.45,Good,E,VS1,61.7,63.0,4.88,4.91,3.02,7.124
7372,0.24,Very Good,E,VS2,61.5,58.0,4.02,4.05,2.48,6.038
7373,0.5,Very Good,D,SI1,61.9,62.0,5.03,5.09,3.13,7.211
7374,1.14,Ideal,H,VVS2,61.9,56.0,6.69,6.72,4.15,8.903
7375,1.52,Premium,D,SI2,59.8,60.0,7.42,7.5,4.46,9.253
7376,1.0,Good,D,SI1,57.6,62.0,6.62,6.5,3.78,8.332
7377,1.7,Very Good,H,SI2,60.8,56.0,7.67,7.72,4.68,9.236
7378,0.3,Premium,G,VS1,62.0,60.0,4.31,4.27,2.66,6.586
7379,1.0,Premium,D,VS1,62.7,54.0,6.38,6.35,3.99,8.963
7380,0.32,Premium,E,SI1,61.2,58.0,4.42,4.37,2.69,6.51
7381,1.35,Premium,G,VS1,62.1,59.0,7.06,7.02,4.37,9.212
7382,0.9,Very Good,G,VS2,60.2,59.0,6.22,6.28,3.76,8.412
7383,0.7,Ideal,E,VS1,62.1,55.0,5.72,5.77,3.57,8.086
7384,1.5,Very Good,G,VS1,62.4,57.0,7.24,7.31,4.54,9.501
7385,2.08,Ideal,I,SI2,62.3,56.0,8.16,8.22,5.1,9.625
7386,0.26,Very Good,D,VVS2,62.8,60.0,4.01,4.05,2.53,6.317
7387,1.01,Fair,J,SI2,66.9,58.0,6.13,6.07,4.08,7.895
7388,1.01,Premium,F,SI2,58.8,62.0,6.49,6.46,3.81,8.342
7389,0.26,Ideal,H,VVS1,61.2,56.0,4.16,4.11,2.53,6.397
7390,0.57,Ideal,F,SI2,61.0,56.0,5.37,5.32,3.26,7.242
7391,0.55,Good,F,VS1,59.5,62.0,5.3,5.35,3.17,7.428
7392,0.31,Ideal,G,IF,61.6,54.0,4.36,4.4,2.7,6.749
7393,0.3,Ideal,F,VVS1,61.8,57.0,4.3,4.34,2.67,6.702
7394,1.01,Ideal,H,VS2,60.6,57.0,6.54,6.49,3.95,8.579
7395,0.3,Very Good,I,VVS2,60.1,63.0,4.28,4.31,2.58,6.265
7396,0.31,Ideal,E,VS2,61.8,54.0,4.36,4.41,2.71,6.522
7397,0.59,Ideal,G,VS2,61.9,57.0,5.41,5.38,3.34,7.756
7398,1.24,Premium,I,VS2,60.1,59.0,7.02,6.95,4.2,8.681
7399,0.33,Premium,G,VS1,61.8,59.0,4.39,4.45,2.73,6.501
7400,1.0,Good,D,SI1,60.5,60.0,6.37,6.42,3.87,8.621
7401,0.3,Ideal,E,VVS2,61.4,55.0,4.33,4.36,2.67,6.855
7402,1.04,Ideal,E,SI1,62.0,57.0,6.47,6.5,4.02,8.418
7403,2.01,Ideal,F,SI2,62.9,56.0,8.05,7.9,5.02,9.488
7404,2.02,Premium,F,SI2,61.7,58.0,8.15,8.11,5.02,9.825
7405,0.42,Premium,E,SI1,62.0,58.0,4.85,4.82,3.0,6.831
7406,0.39,Good,G,VS2,63.7,53.0,4.67,4.62,2.96,6.848
7407,0.32,Ideal,E,VVS2,62.4,56.0,4.39,4.43,2.75,6.762
7408,0.7,Very Good,H,VS2,63.2,57.0,5.58,5.62,3.54,7.667
7409,1.14,Premium,H,VS2,61.3,59.0,6.76,6.72,4.13,8.676
7410,0.41,Good,J,IF,63.5,54.0,4.7,4.75,3.0,6.718
7411,0.4,Premium,H,SI1,62.8,59.0,4.69,4.67,2.94,6.751
7412,0.7,Fair,H,VVS2,64.5,65.0,5.52,5.45,3.54,7.907
7413,0.41,Premium,G,VS2,60.9,58.0,4.8,4.83,2.93,6.718
7414,0.58,Fair,E,SI1,64.4,57.0,5.26,5.24,3.38,7.403
7415,0.51,Very Good,E,VS2,63.5,57.0,5.09,5.05,3.22,7.401
7416,1.03,Premium,G,VVS2,60.4,59.0,6.58,6.56,3.97,8.953
7417,0.38,Ideal,I,VVS2,62.0,55.0,4.64,4.69,2.89,6.581
7418,0.59,Ideal,D,IF,60.9,60.0,5.41,5.39,3.29,8.5
7419,1.01,Very Good,G,VS2,62.8,58.0,6.35,6.42,4.01,8.541
7420,2.01,Very Good,H,SI1,62.6,59.0,7.95,7.98,4.99,9.735
7421,1.28,Very Good,J,SI1,63.4,59.0,6.89,6.84,4.35,8.511
7422,1.03,Premium,E,SI2,61.4,58.0,6.49,6.45,3.97,8.373
7423,0.38,Premium,F,VS1,60.9,58.0,4.71,4.68,2.86,6.906
7424,0.31,Ideal,F,VVS1,61.4,56.0,4.37,4.4,2.69,6.733
7425,1.01,Very Good,G,IF,61.1,56.0,6.45,6.48,3.95,9.112
7426,0.48,Premium,E,SI2,62.9,60.0,4.93,4.9,3.09,6.913
7427,2.05,Very Good,I,SI2,62.8,56.0,8.1,8.12,5.09,9.552
7428,0.9,Very Good,J,VS2,63.3,56.0,6.13,6.1,3.87,7.896
7429,0.25,Very Good,G,VVS1,61.8,56.0,4.03,4.06,2.5,6.263
7430,1.28,Ideal,G,SI2,61.8,56.0,6.95,6.99,4.31,8.83
7431,1.0,Very Good,F,VS1,60.4,59.0,6.4,6.51,3.9,8.882
7432,2.14,Premium,F,SI2,58.2,61.0,8.5,8.45,4.93,9.784
7433,0.3,Fair,F,SI1,63.1,58.0,4.3,4.22,2.69,6.207
7434,0.7,Very Good,G,VS2,63.1,58.0,5.69,5.66,3.58,7.742
7435,2.02,Premium,I,SI1,60.9,60.0,8.13,8.1,4.94,9.703
7436,1.51,Ideal,H,SI1,61.8,55.0,7.38,7.42,4.57,9.142
7437,0.91,Very Good,E,SI1,61.9,61.0,6.11,6.14,3.79,8.302
7438,0.9,Ideal,J,SI1,62.7,56.0,6.21,6.16,3.88,8.145
7439,1.36,Premium,J,VS2,58.4,59.0,7.4,7.27,4.28,8.725
7440,0.33,Ideal,E,VS1,60.6,57.0,4.54,4.5,2.74,6.91
7441,2.5,Fair,H,SI2,64.9,58.0,8.46,8.43,5.48,9.494
7442,0.7,Good,E,VS2,61.5,61.0,5.64,5.74,3.5,7.813
7443,0.3,Ideal,G,VVS2,62.2,55.0,4.33,4.29,2.68,6.778
7444,0.9,Very Good,G,SI1,62.6,60.0,6.09,6.14,3.83,8.274
7445,1.04,Ideal,G,VS1,61.7,57.0,6.47,6.53,4.01,8.895
7446,1.26,Ideal,G,VVS2,60.9,57.0,6.98,7.01,4.26,9.295
7447,0.42,Ideal,F,VVS1,61.4,56.0,4.83,4.85,2.97,7.412
7448,1.15,Ideal,I,VS1,61.3,56.0,6.74,6.76,4.14,8.688
7449,1.15,Ideal,H,SI2,60.5,56.0,6.83,6.8,4.13,8.37
7450,0.56,Premium,D,SI1,62.3,58.0,5.28,5.21,3.27,7.531
7451,0.3,Ideal,G,SI2,60.6,56.0,4.35,4.4,2.65,6.004
7452,0.5,Premium,G,VS1,61.1,60.0,5.1,5.05,3.1,7.396
7453,0.26,Premium,H,VVS1,59.8,59.0,4.12,4.17,2.48,6.148
7454,0.44,Premium,E,VS2,60.4,59.0,4.93,4.9,2.97,6.978
7455,0.71,Very Good,E,SI1,61.7,61.0,5.74,5.76,3.55,7.866
7456,1.96,Very Good,H,SI2,62.7,58.0,7.86,7.93,4.95,9.48
7457,1.01,Ideal,F,VS1,61.3,57.0,6.44,6.47,3.96,8.918
7458,1.0,Ideal,E,SI1,61.6,57.0,6.37,6.45,3.95,8.581
7459,0.5,Very Good,G,VVS1,61.5,56.0,5.11,5.14,3.15,7.519
7460,1.0,Premium,G,SI2,62.9,60.0,6.35,6.3,3.98,8.349
7461,1.0,Fair,F,SI1,66.4,57.0,6.21,6.14,4.1,8.356
7462,1.03,Premium,H,SI1,61.1,59.0,6.56,6.5,3.99,8.434
7463,1.06,Ideal,F,IF,61.0,57.0,6.64,6.55,4.02,9.323
7464,0.32,Premium,G,VS2,61.1,58.0,4.42,4.45,2.71,6.33
7465,0.9,Ideal,H,VS1,60.9,56.0,6.25,6.27,3.81,8.52
7466,0.5,Very Good,E,VS2,62.8,60.0,5.02,5.08,3.17,7.352
7467,3.65,Fair,H,I1,67.1,53.0,9.53,9.48,6.38,9.365
7468,1.53,Premium,F,SI2,60.9,60.0,7.5,7.37,4.53,8.947
7469,0.58,Ideal,F,SI2,62.0,57.0,5.32,5.35,3.31,7.122
7470,0.4,Premium,D,SI1,61.7,58.0,4.7,4.74,2.91,6.649
7471,1.2,Ideal,H,SI2,61.0,57.0,6.9,6.84,4.19,8.65
7472,1.2,Premium,D,VS2,61.6,60.0,6.78,6.72,4.16,9.07
7473,1.11,Ideal,G,VS1,62.1,57.0,6.61,6.63,4.11,8.977
7474,0.51,Ideal,F,VS2,62.0,56.0,5.11,5.14,3.18,7.375
7475,0.33,Ideal,D,VS1,61.7,55.0,4.48,4.5,2.77,6.915
7476,1.6,Premium,G,VS2,61.6,60.0,7.55,7.49,4.63,9.543
7477,0.52,Very Good,F,VS2,60.0,61.5,5.19,5.23,3.13,7.427
7478,0.35,Ideal,F,VS2,61.4,55.0,4.6,4.55,2.81,6.809
7479,0.35,Premium,G,IF,59.1,59.0,4.62,4.59,2.72,7.018
7480,1.53,Premium,I,VS1,61.2,59.0,7.41,7.39,4.53,9.238
7481,1.36,Very Good,D,VVS2,62.6,58.0,7.06,7.21,4.47,9.564
7482,1.34,Good,H,VS2,59.1,60.0,7.15,7.19,4.24,9.001
7483,1.72,Premium,H,VS2,61.3,59.0,7.72,7.69,4.72,9.518
7484,0.7,Good,D,SI1,62.5,56.7,5.59,5.62,3.51,7.963
7485,0.9,Very Good,F,SI1,63.3,55.0,6.18,6.12,3.89,8.422
7486,1.01,Good,F,SI1,60.5,64.0,6.48,6.45,3.91,8.515
7487,0.52,Ideal,F,VVS1,61.2,56.0,5.21,5.19,3.18,7.961
7488,0.34,Good,E,SI1,63.3,57.0,4.44,4.47,2.82,6.321
7489,0.3,Very Good,F,SI2,61.7,62.0,4.25,4.27,2.63,5.976
7490,1.7,Ideal,I,VVS2,61.7,57.0,7.67,7.62,4.71,9.492
7491,1.21,Ideal,I,SI2,64.6,56.0,6.67,6.62,4.29,8.493
7492,0.31,Premium,H,VVS1,62.1,58.0,4.36,4.33,2.7,6.81
7493,0.41,Very Good,H,VS1,61.5,55.0,4.8,4.82,2.96,6.669
7494,0.32,Good,D,SI1,63.3,57.0,4.37,4.38,2.77,6.378
7495,1.08,Ideal,F,SI2,61.3,55.0,6.59,6.62,4.05,8.549
7496,0.4,Ideal,J,VVS2,61.8,55.0,4.76,4.79,2.95,6.495
7497,0.7,Very Good,E,VS2,63.4,59.0,5.63,5.67,3.58,7.99
7498,0.58,Ideal,F,VS2,61.8,57.0,5.39,5.35,3.32,7.784
7499,1.22,Premium,I,SI1,62.3,58.0,6.77,6.81,4.23,8.563
7500,2.05,Premium,E,SI2,59.7,59.0,8.27,8.39,4.97,9.746
7501,0.71,Premium,F,SI2,60.2,60.0,5.8,5.77,3.48,7.754
7502,2.13,Ideal,H,SI2,61.8,57.0,8.21,8.25,5.09,9.635
7503,2.12,Premium,I,SI2,60.6,59.0,8.27,8.3,5.02,9.622
7504,2.04,Ideal,J,SI1,62.6,55.0,8.08,8.12,5.07,9.449
7505,0.71,Good,I,VS2,64.2,58.0,5.52,5.57,3.56,7.615
7506,0.32,Ideal,E,VS2,62.0,55.0,4.36,4.38,2.71,6.554
7507,1.07,Premium,G,SI2,62.9,59.0,6.58,6.51,4.12,8.39
7508,0.59,Very Good,E,VS2,62.3,55.0,5.39,5.43,3.37,7.489
7509,0.25,Very Good,F,VVS2,59.4,57.0,4.1,4.12,2.44,6.354
7510,1.55,Premium,E,SI2,58.5,57.0,7.66,7.57,4.46,8.876
7511,0.51,Ideal,G,VS2,61.0,56.0,5.17,5.2,3.16,7.368
7512,0.3,Very Good,H,SI1,58.7,63.0,4.37,4.32,2.55,6.223
7513,0.43,Ideal,F,SI1,61.3,56.0,4.9,4.86,2.99,6.854
7514,0.31,Premium,E,SI1,62.7,58.0,4.33,4.31,2.71,6.548
7515,0.51,Very Good,G,VVS1,63.2,58.0,5.11,5.08,3.22,7.586
7516,0.71,Good,I,VS2,64.3,63.0,5.63,5.56,3.6,7.728
7517,0.51,Very Good,G,VS1,61.1,56.0,5.17,5.2,3.17,7.419
7518,0.32,Ideal,H,IF,61.6,55.0,4.41,4.42,2.72,6.702
7519,0.55,Very Good,E,SI2,59.6,57.0,5.34,5.39,3.2,7.043
7520,0.32,Ideal,E,VS2,62.3,54.0,4.4,4.37,2.73,6.802
7521,0.5,Very Good,J,VS2,63.4,58.0,5.07,5.02,3.2,6.93
7522,2.06,Ideal,I,VS2,59.2,57.0,8.39,8.29,4.94,9.661
7523,0.7,Ideal,E,SI2,61.0,55.0,5.76,5.78,3.52,7.754
7524,2.01,Very Good,J,VS1,61.2,60.0,8.06,8.14,4.96,9.603
7525,0.71,Good,E,VS2,63.2,57.0,5.63,5.66,3.56,7.79
7526,0.31,Premium,G,SI1,61.8,60.0,4.32,4.35,2.68,6.136
7527,0.43,Ideal,E,SI1,62.9,56.0,4.83,4.8,3.03,6.924
7528,0.43,Ideal,G,VS1,61.2,57.0,4.83,4.88,2.97,6.78
7529,1.2,Premium,J,SI2,59.6,62.0,6.95,6.9,4.13,8.282
7530,0.51,Very Good,D,SI1,63.4,59.0,5.07,5.02,3.2,7.12
7531,1.51,Premium,G,SI1,62.3,59.0,7.29,7.21,4.52,8.933
7532,0.7,Good,F,SI1,63.1,57.0,5.61,5.65,3.55,7.678
7533,0.41,Ideal,D,SI2,62.7,55.0,4.75,4.72,2.97,6.775
7534,0.56,Very Good,E,SI1,60.2,57.0,5.36,5.4,3.24,7.272
7535,0.23,Very Good,F,VVS1,59.3,58.0,4.02,4.04,2.39,6.273
7536,0.56,Premium,E,VS1,62.6,58.0,5.23,5.28,3.29,7.565
7537,0.9,Very Good,H,VS1,62.1,57.0,6.17,6.23,3.85,8.402
7538,0.6,Very Good,E,VS1,60.0,58.0,5.5,5.56,3.32,7.728
7539,0.33,Premium,G,VVS1,60.4,59.0,4.44,4.47,2.69,6.766
7540,1.06,Premium,F,VS2,62.2,57.0,6.58,6.53,4.08,8.846
7541,1.03,Very Good,I,SI2,63.5,58.0,6.38,6.4,4.06,8.68
7542,0.51,Ideal,G,SI2,62.0,56.0,5.13,5.16,3.19,7.08
7543,1.12,Ideal,F,VVS2,61.4,57.0,6.66,6.69,4.1,9.155
7544,0.32,Ideal,G,VVS1,61.7,56.0,4.37,4.41,2.71,6.593
7545,1.01,Premium,F,SI2,59.2,58.0,6.5,6.47,0.0,8.252
7546,0.31,Fair,G,VVS2,65.5,58.0,4.25,4.24,2.78,6.444
7547,0.6,Premium,D,VS2,62.8,59.0,5.39,5.35,3.37,7.619
7548,0.5,Ideal,I,VS2,62.5,55.0,5.05,5.09,3.17,7.126
7549,0.41,Good,D,SI1,63.1,57.0,4.68,4.73,2.97,6.575
7550,0.27,Ideal,E,VVS1,62.3,56.0,4.15,4.17,2.59,6.433
7551,1.04,Ideal,H,SI2,62.1,56.0,6.48,6.5,4.03,8.39
7552,1.13,Very Good,F,SI2,59.1,59.0,6.81,6.87,4.04,8.52
7553,0.71,Very Good,G,SI1,61.2,61.0,5.66,5.71,3.48,7.726
7554,1.07,Ideal,G,VVS2,62.8,54.0,6.51,6.55,4.1,9.013
7555,1.71,Ideal,J,VVS2,61.6,59.0,7.65,7.68,4.72,9.301
7556,0.6,Ideal,D,SI1,61.4,55.0,5.43,5.45,3.34,7.437
7557,2.01,Very Good,I,SI2,60.5,59.0,8.19,8.26,4.98,9.591
7558,0.31,Ideal,I,VS1,61.9,54.5,4.33,4.36,2.69,6.219
7559,1.2,Very Good,H,SI2,61.5,58.0,6.78,6.84,4.19,8.68
7560,0.38,Premium,F,VVS1,59.2,58.0,4.76,4.8,2.83,7.09
7561,1.02,Ideal,F,SI2,61.4,56.0,6.47,6.5,3.98,8.429
7562,2.04,Premium,H,SI2,62.8,57.0,8.13,8.08,5.09,9.532
7563,0.91,Premium,H,VVS1,62.5,59.0,6.19,6.16,3.86,8.506
7564,0.28,Ideal,H,VS1,62.3,55.0,4.21,4.24,2.63,6.176
7565,0.53,Ideal,D,VVS2,61.6,56.0,5.21,5.24,3.22,8.116
7566,0.37,Good,E,VS1,63.3,56.0,4.58,4.61,2.91,6.707
7567,0.3,Ideal,F,IF,62.4,56.0,4.26,4.3,2.67,6.787
7568,0.75,Very Good,F,VS1,60.9,59.0,5.83,5.87,3.56,8.077
7569,0.3,Ideal,H,VS2,62.6,55.0,4.28,4.31,2.69,6.196
7570,0.9,Very Good,F,SI2,62.8,54.0,6.05,6.15,3.83,8.076
7571,0.97,Ideal,D,SI1,62.8,56.0,6.24,6.3,3.94,8.523
7572,0.4,Ideal,H,IF,60.9,58.0,4.75,4.78,2.9,6.979
7573,0.4,Fair,G,SI1,59.9,67.0,4.81,4.77,2.87,6.867
7574,0.23,Very Good,D,VS1,61.9,58.0,3.92,3.96,2.44,5.996
7575,0.31,Ideal,F,VS2,61.9,57.0,4.34,4.32,2.68,6.619
7576,0.4,Premium,G,SI1,59.2,61.0,4.81,4.78,2.84,6.802
7577,0.72,Very Good,I,SI1,63.3,57.0,5.73,5.67,3.61,7.637
7578,0.33,Ideal,F,VVS1,62.4,55.0,4.4,4.42,2.75,6.862
7579,1.04,Ideal,I,VS2,62.9,56.0,6.5,6.41,4.06,8.297
7580,0.3,Ideal,G,VS1,61.9,56.0,4.34,4.29,2.67,6.654
7581,0.8,Very Good,G,SI1,62.1,56.0,6.01,5.85,3.68,8.03
7582,1.73,Good,E,I1,63.6,59.0,7.56,7.6,4.82,9.014
7583,1.37,Ideal,I,VS2,61.3,56.0,7.15,7.18,4.39,8.923
7584,1.01,Ideal,F,VS2,62.1,57.0,6.46,6.42,4.0,8.823
7585,0.3,Premium,G,VVS1,62.1,56.0,4.31,4.29,2.67,6.921
7586,0.59,Very Good,E,VS2,59.9,56.0,5.46,5.49,3.28,7.516
7587,0.32,Ideal,G,VS1,61.4,54.0,4.45,4.48,2.74,6.42
7588,1.2,Very Good,H,VS2,63.3,59.0,6.78,6.74,4.28,8.83
7589,1.28,Ideal,I,VS1,61.3,57.0,7.02,6.98,4.29,8.857
7590,0.79,Very Good,D,SI1,59.7,57.0,5.96,5.99,3.57,8.141
7591,0.3,Premium,D,VS2,60.5,58.0,4.35,4.38,2.64,6.565
7592,0.33,Ideal,F,VVS1,61.7,55.0,4.42,4.46,2.74,6.78
7593,0.31,Premium,D,SI1,61.4,58.0,4.36,4.33,2.67,6.596
7594,0.46,Ideal,I,VVS2,61.4,57.0,4.96,5.0,3.06,6.914
7595,0.9,Very Good,I,VS2,62.0,63.0,6.13,6.03,3.77,8.113
7596,0.3,Premium,E,VS2,61.7,61.0,4.31,4.28,2.65,6.738
7597,2.1,Premium,J,VVS1,61.3,58.0,8.29,8.24,5.07,9.776
7598,0.27,Very Good,E,VS1,60.4,59.0,4.18,4.2,2.53,6.153
7599,0.54,Ideal,H,VS1,62.7,57.0,5.23,5.17,3.26,7.401
7600,0.7,Ideal,F,SI1,61.0,56.0,5.75,5.72,3.5,7.901
7601,0.33,Ideal,G,VS2,62.8,54.0,4.42,4.4,2.77,6.611
7602,1.51,Very Good,E,VS2,62.4,58.0,7.26,7.33,4.55,9.52
7603,0.42,Premium,F,VS1,61.2,58.0,4.82,4.86,2.96,6.938
7604,1.19,Ideal,G,VS1,62.4,54.0,6.78,6.81,4.24,9.202
7605,0.4,Ideal,H,VVS2,62.3,57.0,4.73,4.71,2.94,7.026
7606,0.53,Very Good,J,VS1,61.4,56.0,5.19,5.23,3.2,7.009
7607,0.32,Ideal,E,SI1,61.0,56.0,4.41,4.45,2.7,6.326
7608,0.41,Premium,D,VS2,61.8,58.0,4.76,4.79,2.95,6.741
7609,0.83,Ideal,J,VS2,62.3,55.0,6.01,6.03,3.75,7.916
7610,1.7,Premium,G,SI2,62.5,58.0,7.53,7.6,4.73,9.266
7611,0.7,Premium,F,SI1,58.6,59.0,5.83,5.78,3.4,7.885
7612,2.02,Premium,J,SI1,61.6,58.0,8.14,8.1,5.0,9.428
7613,1.01,Very Good,E,VVS2,62.8,56.0,6.34,6.39,4.0,9.115
7614,1.01,Premium,F,VS2,62.3,58.0,6.34,6.3,3.94,8.744
7615,0.31,Premium,I,VS2,61.1,58.0,4.38,4.36,2.67,6.324
7616,0.24,Very Good,F,VS2,61.4,58.0,3.99,4.05,2.47,6.038
7617,2.0,Premium,F,SI2,61.5,59.0,8.03,7.95,4.92,9.343
7618,0.71,Premium,F,VS1,61.8,59.0,5.69,5.73,3.53,7.925
7619,0.71,Ideal,G,SI1,62.3,56.0,5.73,5.7,3.56,7.748
7620,1.0,Very Good,E,VS1,61.2,57.0,6.43,6.47,3.95,8.854
7621,0.23,Very Good,E,VVS1,61.8,59.0,3.9,3.93,2.42,6.273
7622,0.25,Ideal,F,SI1,61.5,56.0,4.06,4.09,2.5,6.064
7623,1.01,Very Good,G,SI2,59.3,61.0,6.56,6.52,3.88,8.397
7624,0.81,Ideal,I,SI1,61.3,56.0,6.23,6.27,3.83,8.038
7625,1.0,Ideal,J,VS1,61.1,57.0,6.43,6.48,3.95,8.404
7626,1.03,Premium,H,VS2,60.9,58.0,6.55,6.48,3.97,8.587
7627,1.0,Premium,F,VS1,62.7,55.0,6.39,6.34,3.99,8.862
7628,1.18,Ideal,G,VVS1,61.1,57.0,6.78,6.84,4.16,9.115
7629,1.0,Very Good,D,SI1,60.5,58.0,6.42,6.48,3.9,8.658
7630,0.51,Very Good,F,VS2,60.5,63.0,5.17,5.11,3.11,7.485
7631,1.06,Ideal,E,VS2,61.3,57.0,6.54,6.57,4.02,9.115
7632,1.5,Good,H,SI2,64.0,61.0,7.18,7.14,4.58,8.558
